0
YPF
SVW.AX
ONEM
SUMICHEM.NS
BVN
SPNT
Series D
Series D
Series C
Series D
Series C
Series D
Series C
Series B
Series E
Series E
Series E
Debt
Unattributed
Series C - II
Corporate Minority
Series B
Series D
Series C
Series D
Line of Credit
Series C
Acq - Pending
Series F - II
Series E
Angel
Series C - II
Series D
Series C
Series E
Series F
Series C
Series D
None
Series C
Series C
Series D
Series E
Series C
Series D
Series C
Secondary Market
Option/Warrant - III
Series D
Series C
Series E - II
Series B - II
Series E
Series E
IPO
Series E - II
Series E
Unattributed VC
Series F
Series B - IV
Series F
Series B
Series E
Series D
Series D
Series D
Series D
Series D
Incubator/Accelerator
Series B - II
Series C - II
Series C - II
Series D
Series C
Private Equity
Private Equity - II
Series E
Seed VC
Series C
Series D
Series F
Series E
Debt - II
Series E
Series F
Debt
Series E
Line of Credit
Private Equity
Series D
Series C - II
Private Equity
Series E
Series C - II
None
Series D - II
Series F
Series D
Series G
Series C
Series E
Unattributed
Series C
Corporate Minority - VII
Unattributed VC - III
Debt - IV
Series C
Series C
Series B
Series C
Series E
Series E
Series B
Private Equity
Loan
Series F
Series D - II
Series E
Seed VC - II
Series G
Series C
Series D
Series E
Series D
Series D - II
None
Unattributed VC
Series D - II
Series F - II
Merger
Acquired
Corporate Minority
Series C
Unattributed VC - II
Series C
Line of Credit
Series F
Growth Equity - II
Series D
Private Equity
Series D
Series C
Unattributed VC
Series B
Series F
Corporate Minority - II
Series D
Series E - II
Series E
Series B
Series D
Series F - II
Series B
Series E
Series B - II
Series E
Other Investors
Series F
Series F
Series B
Line of Credit
Series D
Shareholder Liquidity
Series F - II
Debt - II
Series C
Incubator/Accelerator - II
Series F
Series D
Growth Equity
Unattributed
Series D
Series C
Series E
Series G
Secondary Market
Other Investors
Private Equity
Series D
Series E
Series D
Private Equity
Series D
Unattributed VC
Corporate Minority - II
Unattributed - VI
Series E
Series D - II
Option/Warrant - XII
Series D
Series F
Series C
Series D - II
Series D - III
Series F
Series D
Series D
Corporate Minority
Series A
Private Equity
Shareholder Liquidity
Unattributed
Series E
Incubator/Accelerator
Seed VC
Series D
Series E
None
Series B
Series D
Series C
Debt
Series D
Corporate Minority - II
Series D
Series F
Series D
Series C
Series F
Series C
Series D
Series D
Series G
Series D - III
Acquired
Secondary Market
Series C
Line of Credit
Series G
Secondary Market
Unattributed
Debt - II
Unattributed VC
Series B
Series D
Series B
Series E
Debt - II
Series B
Corporate Minority
Series I
Series D
Series C - II
Corporate Minority
Convertible Note
Series E
Series E
Series D
Unattributed
Private Equity - II
Series E
Private Equity
Reverse Merger
Series F
Series E
Series B - II
Secondary Market
Series E
Series D
Corporate Minority - II
Unattributed VC
Secondary Market
Series E
Series E
None
Series H
Series D
Loan
Series E
Series F
Corporate Minority
Loan
Series D - II
Series E
Series C
Series D
Series F
Series F
Private Equity
Series B
Series D
Series C - II
Series D
Series F
Series D
Series F
Convertible Note
Line of Credit
Series C - II
Series D
Series E
Series C
Series C
Seed VC
Debt - VI
Series C
Series F
Series B
Incubator/Accelerator
Corporate Minority
Series H
Series F
None
Series F
Unattributed - V
Corporate Minority
Private Equity
Secondary Market
Convertible Note - II
Series E
Private Equity - II
Series D
Series F
Series E - II
Series F
Series C
Angel - II
Convertible Note
Series F
Unattributed VC
Series C - IV
Debt
Series C - II
Series E
Unattributed VC
Series E
Series E
Series D
Series E
Series E - II
Series C
Series F - II
Series G
None
Series D
Angel - II
Series E
Series F
Series H
Series F
Private Equity - III
Corporate Minority - III
Series C
Debt
Series C
Series C - II
Growth Equity - IV
Series D
Series D
Series E
Series E - II
Series E
Series F
Unattributed - III
Corporate Minority
Corporate Minority
Private Equity - II
Corporate Minority
Series D
Series B
Series D
Secondary Market
None
Series B - III
Series C
None
Secondary Market
Series C
Series G
Series D - II
Series G - III
Dead
Series E
Series G
None
Unattributed - III
Line of Credit
Series G
Private Equity - II
Series E
Series D
Series E
IPO
Series D
Series F
Debt - II
Corporate Minority - II
Unattributed
Series E
Growth Equity - II
Series D
Series D - II
Series B
Series E
Series D - II
Series D
Series B
Shareholder Liquidity
Corporate Minority
Series D - II
Series C
Angel
Series B - V
Series D
Series C
Private Equity - II
Growth Equity
Series I
MC
OR
RMS
MUV2
EDF
ML
VIV
HNRB
BMY
ACN
NVS
TM
MCD
1398.HK
OR.PA
RELIANCE.NS
ASML
BABA
ROG.SW
NVO
600519.SS
NESN.SW
META
005930.KS
TCEHY
MC.PA
TSM
XOM
UNH
GOOG
2222.SR
TD
HDB
GS
601857.SS
LOW
PRX.AS
UL
3690.HK
SAP
CDI.PA
RY
300750.SZ
601288.SS
0941.HK
TTE
601939.SS
TCS.NS
BHP
RMS.PA
VOW3.DE
3968.HK
GLCNF
CNI
000858.SZ
CB
MDLZ
TJX
AIR.PA
NPPXF
002594.SZ
CSL.AX
P911.DE
6861.T
SONY
DTE.DE
MDT
373220.KS
JD
PDD
SIE.DE
SNY
601318.SS
601628.SS
EQNR
BUD
1299.HK
601988.SS
CBA.AX
CP
VALE
AI.PA
601088.SS
BKNG
IBN
MRK.DE
IDEXY
ENB
SU.PA
EL.PA
1120.SR
EL
INFY
ALV.DE
MMC
APD
BBCA.JK
BAM
ZURN.SW
KER.PA
MBG.DE
600028.SS
GAZP.ME
PBR
CFR.SW
HINDUNILVR.NS
IBE.MC
WM
601888.SS
IVS.F
DG.PA
UBS
BMW.DE
ABB
HDFC.NS
1180.SR
ATCO-B.ST
ICE
CCI
SHL.DE
BNS
9983.T
BHARTIARTL.NS
AMX
OEWA.F
4568.T
9633.HK
0883.HK
ETN
9433.T
D05.SI
WMMVF
SBIN.NS
CNQ
2010.SR
NAB.AX
9984.T
CS.PA
MUFG
BMO
600900.SS
ROSN.ME
RI.PA
E
SAF.PA
RKT.L
OMZZP.ME
EPD
8035.T
SHOP
ADANIENT.NS
HEIA.AS
F
ENEL.MI
WBC.AX
300760.SZ
TRI
601658.SS
BAYZF
EMR
DSY.PA
4063.T
601012.SS
NVTK.ME
JCI
SMFG
SBER.ME
KOTAKBANK.NS
CDNS
BAS.DE
4661.T
BYRA.F
MQG.AX
MELI
SCCO
000333.SZ
207940.KS
2317.TW
ATGL.NS
8058.T
KHC
AEP
6367.T
LULU
ABEV
EDF.PA
ITUB
STLA
603288.SS
BAJFINANCE.NS
7010.SR
7974.T
SAN
DPW.DE
6501.T
ADYEN.AS
ANZ.AX
ADM
LICI.NS
0388.HK
ITC.NS
6098.T
601166.SS
0728.HK
ISP.MI
002415.SZ
BCE
000660.KS
SU
TRP
4519.T
UMG.AS
IFX.DE
ING
FIS
NXPI
MUV2.DE
TRV
8031.T
WDS
8001.T
ENPH
1211.SR
ATD.TO
TAK
601328.SS
NTES
WMB
002714.SZ
7741.T
CARR
002352.SZ
WES.AX
WCN
601899.SS
DP4A.F
ADANITRANS.NS
HCLTECH.NS
VOLVF
HLT
CVE
2454.TW
U11.SI
DOGEF
NDA-FI.HE
ET
NEM
SIKA.SW
NESTE.HE
600030.SS
BIDU
TEL
BSBR
LONN.SW
LKOH.ME
GMKN.ME
CM
ADANIGREEN.NS
600309.SS
051910.KS
1876.HK
O39.SI
CPG.L
HMC
8766.T
FMG.AX
TT
BNTX
NTR
6902.T
RACE
DB1.DE
CPNG
ALL
PUK
6981.T
0016.HK
DSV.VI
STM
006405.KS
BF-A
000001.SZ
300059.SZ
BBVA
3382.T
LT.NS
WBA
TEAM
HLAG.DE
YUM
ENGI.PA
2914.T
600276.SS
6594.T
ASIANPAINT.NS
HXGBF
ALC
GIVN.SW
002304.SZ
MFG
BBD
TLS.AX
ON
GMAB
2359.HK
PPERF
601633.SS
DMART.NS
HOLN.SW
BAJAJFINSV.NS
KEYS
NPSNY
Z74.SI
PPG
DELL
MARUTI.NS
CAP.PA
MTD
1024.HK
2388.HK
AS7.F
CSU.TO
MPLX
TDG
601668.SS
AXISBANK.BO
EXPGF
XIACF
IMO
MFC
SE
6618.HK
KNIN.SW
L.TO
HYMTF
601601.SS
0011.HK
AD.AS
0066.HK
TCL.AX
601319.SS
002142.SZ
DHI
BKR
QSR
RWE.DE
6273.T
GOLD
DNB.OL
600000.SS
601998.SS
TU
CRH
AOT.BK
ACA.PA
PEG
GWW
SUNPHARMA.NS
HEN3.DE
600690.SS
002475.SZ
WEGE3.SA
PCG
6954.T
1339.HK
KNEBV.HE
ORAN
CBHD.F
IFC.TO
300124.SZ
TTD
BAX
5110.SR
NTGY.MC
DTG.F
600887.SS
6178.T
PTT-R.BK
0027.HK
6702.T
HO.PA
1010.SR
WOSB.F
LYB
SLF
FMX
2202.HK
WIT
MLYBY
APTV
FNV
7182.T
NOK
SCMN.SW
0267.HK
4503.T
CABK.MC
0688.HK
WOW.AX
CHT
SQM
TITAN.NS
300015.SZ
G.MI
WXXWY
ALNY
EBK.DE
600104.SS
CLNX.MC
KBCSF
K
SRT.DE
EOAN.DE
BEI.DE
PGHN.SW
7733.T
SEBA.F
ULTRACEMCO.NS
RJF
TLK
BPAC3.SA
5108.T
000651.SZ
MBLY
601138.SS
VWSB.F
2308.TW
SREN.SW
6505.TW
UCG.MI
ASAZF
601919.SS
PPBA.F
SAMPO.HE
DSM.AS
2881.TW
SIRI
AMS.MC
SGO.PA
HBAN
EPI-A.ST
0291.HK
UDR
MKN2.F
ACGL
NIO
4543.T
LR.PA
PFG
MLM
EVO.ST
GFNORTEO.MX
ARGX
8113.T
601066.SS
TIB1.F
600188.SS
MKC
EDPR.LS
HNR1.DE
YUMC
NESTLEIND.NS
SCT.F
GMG.AX
CAJ
RCI
ADANIPORTS.NS
SAND.ST
9022.T
BEKE
AEM
HZNP
NA.TO
ADS.DE
HIG
LISN.SW
1113.HK
EPAM
PODD
1060
035420.KS
4901.T
DB
REP.MC
TEF
9020.T
0001.HK
6301.T
6752.T
ZM
ONGC.NS
9613.T
BGNE
002460.SZ
JSWSTEEL.NS
IR
MT
LI
GWO.TO
ERIC
AKRBP.OL
6503.T
GIB
4689.T
601818.SS
1766.HK
ATL.MI
UPM.HE
GLE.PA
EC
TOU.TO
ROL
PBA
ELE.MC
4612.T
1303.TW
TDY
WRB
FER.MC
VNA.DE
NZYM.VI
TTM
BZLA.F
ML.PA
ELP
4523.T
PAYC
RBLX
AHCHF
FSRA.F
8053.T
XYL
SCHN.SW
TPL
600016.SS
NTPC.NS
000270.KS
ZTO
SVHH.F
TS
TCOM
688599.SS
PTTEP.BK
NIBE-B.ST
NU
LPLA
0390.HK
BEP
WAB
PAH3.DE
STMN.SW
POWERGRID.NS
3659.T
IX
4452.T
JBHT
BIMBOA.MX
LGEN.L
600031.SS
2882.TW
8002.T
600009.SS
F34.SI
8750.T
035720.KS
ETSY
STE
CBGA.F
EDP.F
000725.SZ
M&M.NS
KOF
AENA.MC
HM-B.ST
RPRX
FTS
TECK
EBR
UMC
VTWR.DE
BR
6723.T
MGA
8267.T
2319.HK
0762.HK
RYAAY
WMG
601111.SS
0002.HK
6326.T
DOL.TO
FSLR
6920.T
RLF.F
FDS
1929.HK
1150.SR
SGSN.SW
8802.T
ESWB.F
2802.T
WPM
WST
4911.T
2020.SR
CEZ.F
UI
IEX
TTWO
4578.T
WN.TO
EYX.F
SWED-A.ST
EXPD
8801.T
6971.T
0788.HK
VIE.PA
068270.KS
1301.TW
AMCR
SWMA.ST
CHKP
CPALL.BK
601211.SS
FM.TO
TATASTEEL.NS
EMSN.SW
PUB.PA
H.TO
BOP.F
ZNH
000625.SZ
ABMD
WPC
PKY1.F
IEP
PIDILITIND.NS
LYV
POW.TO
GEBN.SW
COALINDIA.NS
SRG.MI
SEDG
601800.SS
KEY
7269.T
ANTO.L
PKX
ICLR
6201.T
600600.SS
6862.HK
SASA.IS
ASX
SNGS.ME
6502.T
FFH.TO
206G.F
ERIE
EQT
TW
AC.MX
LKQ
AKAM
GRASIM.NS
2002A.TW
SLHN.SW
POOL
TEL.OL
NLMK.ME
PST.MI
NICE
GCTAF
