;0;1;2;3
129;FEIC;FEI Company;Information Technology;view
130;FHN;First Horizon National Corp;Financials;view
131;FICO;Fair Isaac & Co Inc;Information Technology;view
132;FII;Federated Investors Inc B;Financials;view
133;FL;Foot Locker Inc;Consumer Discretionary;view
134;FLO;Flowers Foods Inc;Consumer Staples;view
135;FMER;FirstMerit Corp;Financials;view
136;FRT;Federal Realty Invt Trust;Financials;view
137;FTNT;Fortinet Inc;Information Technology;view
138;FULT;Fulton Financial Corp (PA);Financials;view
139;GEF;Greif Bros Corp;Industrials;view
140;GES;Guess? Inc;Consumer Discretionary;view
141;GGG;Graco Inc;Industrials;view
142;GHC;Graham Holdings Co;Consumer Discretionary;view
143;GNTX;Gentex Corp.;;view
144;GMT;GATX Corp.;Industrials;view
145;GPN;Global Payments Inc.;;view
146;GPOR;Gulfport Energy Corp;Energy;view
147;GVA;Granite Construction Inc;Industrials;view
148;GWR;Genesee & Wyoming;Industrials;view
149;GXP;Great Plains Energy Inc;Utilities;view
150;HAIN;Hain Celestial Group Inc;Consumer Staples;view
151;HBHC;Hancock Hldgs Co;Financials;view
152;HCC;HCC Insurance Holdings Inc;Financials;view
153;HE;Hawaiian Electric Industries;Utilities;view
154;HFC;HollyFrontier Corporation;Energy;view
155;HII;Huntington Ingalls Industries Inc.;Industrials;view
156;HIW;Highwoods Properties;Financials;view
157;HLX;Helix Energy Solutions Group Inc;Energy;view
158;HME;Home Properties of New York;Financials;view
159;HMSY;HMS Holdings;Health Care;view
160;HNI;HNI Corp;Industrials;view
161;HNT;Health Net Inc;Health Care;view
162;HOLX;Hologic Inc;Health Care;view
163;HPT;Hospitality Properties Trust;Financials;view
164;HRC;Hill-Rom Holdings Inc;Health Care;view
165;HSC;Harsco Corp;Industrials;view
166;HSNI;HSN Inc;Financials;view
167;HUB.B;Hubbell Inc;Industrials;view
168;HYH;Halyard Health Care;Health Care;view
169;IBOC;Intl Bancshares Corp;Financials;view
170;IDA;Idacorp Inc;Utilities;view
171;IDCC;InterDigital Inc;Information Technology;view
172;IDTI;Integrated Device Technology;Information Technology;view
173;IDXX;IDEXX Laboratories Inc;Health Care;view
174;IEX;IDEX Corp;Industrials;view
175;IM;Ingram Micro Inc A;Information Technology;view
176;INFA;Informatica Corp;Information Technology;view
177;INGR;Ingredion Inc;Consumer Staples;view
178;INT;World Fuel Services Corp;Energy;view
