name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
EBOS GROUP," Healthcare, HealthCare Products",4.196 Billion USD,,Australia,,,,Not found,1922,,,,,,"8,239 Million USD"
ZIFF DAVIS INC," Technology, Software and IT, Telecom, Software Products, Telecom Equipment, Software and IT Infrastructure",6.660 Billion USD,,USA,,,,Not found,1995,,,,,,"1,416 Million USD"
VARTA AG," Industries, Batteries, Electrical Products",6.374 Billion USD,,Germany,,,,Not found,1887,,,,,,902 Million USD
KINGBOARD LAMINATES HOLDINGS," Technology, Electronics, Chemicals, Capital Goods",6.035 Billion USD,,Hong Kong,,,,Not found,2006,,,,,,"3,671 Million USD"
TOPDANMARK A/S," Financial Services, Insurance",4.657 Billion USD,,Denmark,,,,Not found,1985,,,,,,"4,653 Million USD"
SEMTECH CORPORATION," Technology, Electronics, Semiconductors",4.540 Billion USD,,USA,,,,Not found,1960,,,,,,740 Million USD
TFS FINANCIAL CORPORATION," Financial Services, Banking Services",5.610 Billion USD,,USA,,,,Not found,1938,,,,,,286 Million USD
BALCHEM CORPORATION," Basic Materials, Chemicals",4.545 Billion USD,,USA,,,,Not found,1967,,,,,,799 Million USD
ISKENDERUN DEMIR VE CELIK," Basic Materials, Iron and Steel, Metal Fabrication Products, Metals, Mining",4.298 Billion USD,,Turkey,,,,Not found,1970,,,,,,"2,495 Million USD"
"ZHEJIANG ORIENT GENE BIOTECH CO., LTD."," Healthcare, Biotechnology",3.210 Billion USD,,China,,,,Not found,Not found,,,,,,"1,480 Million USD"
POWER INTEGRATIONS," Technology, Electronics, Semiconductors",6.618 Billion USD,,USA,,,,Not found,1988,,,,,,703 Million USD
KURITA WATER INDUSTRIES," Industries, Chemicals, Water Utilities",5.357 Billion USD,,Japan,,,,Not found,1949,,,,,,"2,103 Million USD"
"HAYWARD HOLDINGS, INC."," Electrical Products, Lighting Products",4.842 Billion USD,,USA,,,,Not found,2017,,,,,,"1,401 Million USD"
CD PROJEKT," Communication Services, Gaming, Video Games / Mobile Games / Tech Games / Casino Games, Software and IT, Technology Hardware and Instruments",4.428 Billion USD,,Poland,,,,Not found,1994,,,,,,Not found
PDC ENERGY," Energy, Oil and Gas",4.119 Billion USD,,USA,,,,Not found,1955,,,,,,"2,552 Million USD"
