name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
Apple,,$2.351 T,164.000,USA,,,,,,,$147.81,,AAPL,,$394.32 B
Apple,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","$2,640.32 B","154,000",United States,"Cupertino, CA, United States",,Technology,Tim Cook,1976,,,,,,$378.7B
Wells Fargo,,$175.05 B,,USA,,,,,,,$45.94,,WFC,,
Wells Fargo,Banking,$176.77 B,"247,848",United States,"San Francisco, CA, United States",,Financials,Charles William Scharf,1852,,,,,,$84.1B
Nike,,$175.54 B,,USA,,,,,,,$112.20,,NKE,,
Nike,"Clothing, Shoes, Sports Equipment",$203.13 B,"73,300",Canada,"Beaverton, OR, United States",,Consumer Discretionary,John J. Donahoe II,1964,,$128.38,,,,$46.9B
Walt Disney,,$177.08 B,,USA,,,,,,,$99.43,,DIS,,
Walt Disney,Media & Advertising,$215.33 B,"190,000",United States,,,,Robert A. Chapek,1923,,,,,,$73B
Abbott Laboratories,,$188.46 B,,USA,,,,,,,$108.09,,ABT,,
Abbott Laboratories,Medical Devices,$215.02 B,"113,000",United States,"NorthChicago,IL,UnitedStates",,Healthcare,Robert B. Ford,1888,,,,ABT,,$44.5B
Accenture,Professional Services,$189.25 B,"624,000",Ireland,"Dublin, Ireland",,Technology,Julie Spellman Sweet,1955,,$300.13,,ACN,,$56.7B
Novartis,Drugs & Biotechnology,$194.41 B,"108,000",Switzerland,"Basel, Switzerland",,Healthcare,Vasant Narasimhan,1996,,$89.99,,NVS,,$51.6B
Toyota,Auto Manufacturers,$199.92 B,"371,365",Japan,"Toyota, Japan",,Consumer Discretionary,Mr. Akio Toyoda,"August 28, 1937",,$146.53,,TM,,"¥27,214,594 million  US$256.7 billion (FY21)"
Danaher,,$199.62 B,,USA,,,,,,,$274.23,,DHR,,
Danaher,"Engineering, Manufacturing",$189.4 B,"80,000",United States,"Washington, DC, United States",,Healthcare,Rainer M. Blair,1984,,,,,,$30.3B
Cisco,,$204.17 B,83.300,USA,,,,,,,$49.70,,CSCO,,$52.28 B
Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",$206.97 B,"82,000",UK,"London, United Kingdom",,Energy,Bernardus van Beurden,1907,,$57.72,,SHEL,,$261.8B
Shell,"Construction, Oil & Gas Operations, Mining and Chemicals",$209.87 B,"82,000",united-kingdom,"London, United Kingdom",,Energy,Bernardus van Beurden,1907,,$60.08,,,,$261.8B
Shell,,$208.24 B,82.0,SHEL,,,,,,,$59.61,,,,$365.29 B
Costco,,$218.88 B,304.000,USA,,,,,,,$494.53,,COST,,$229.18 B
Astrazeneca,,$213.83 B,,UK,,,,,,,$68.47,,AZN,,
Thermo Fisher Scientific,,$220.80 B,,USA,,,,,,,$563.00,,TMO,,
Thermo Fisher Scientific,Drugs & Biotechnology,$219.71 B,"130,000",United States,"Waltham, MA, United States",,Healthcare,Marc N. Casper ,1983,,,,,,$39.2B
Broadcom,,$219.02 B,,USA,,,,,,,$540.80,,AVGO,,
Broadcom,Semiconductors,$239.64 B,"20,000",United States,"San Jose, CA, United States",,Technology,Hock E. Tan,1961,,,,,,$28.5B
Reliance Industries,Oil & Gas Operations,$226.23 B,"236,334",India,,,,Mukesh Dhirubhai Ambani,1973,,$33.44,,RELIANCE.NS,,$86.9B
Oracle,,$224.72 B,,USA,,,,,,,$83.35,,ORCL,,
Oracle,"IT, Internet, Software & Services",$203.34 B,"133,000",United States,"Redwood City, CA, United States",,Technology,Safara Catz,1977,,,,,,$41.8B
Alibaba,Internet Retail,$240.69 B,"259,316",China,"Hangzhou, China",,Consumer Discretionary,Mr. Yong Zhang,28 June 1999,,$90.06,,BABA,,"CN¥717.289 billion (US$109.480 billion, 2021)"
Merck,,$278.99 B,,USA,,,,,,,$110.04,,MRK,,
Roche,Drug Manufacturers—General,$270.73 B,"100,920",Switzerland,"Basel, Switzerland",,Healthcare,Dr. Severin Schwan Ph.D.,,,$329.15,,ROG.SW,,
Novo Nordisk,Drugs & Biotechnology,$285.74 B,"47,792",Denmark,"Bagsvaerd, Denmark",,Healthcare,Lars Fruergaard Jørgensen,1989,,$126.90,,NVO,,$22.4B
Pfizer,,$285.77 B,,USA,,,,,,,$50.91,,PFE,,
Pfizer,Drugs & Biotechnology,$271.83 B,"29,000",United States,"New York, NY, United States",,Healthcare,Albert Bourla,1849,,,,,,$81.5B
Kweichow Moutai,"Food, Drink & Tobacco",$292.41 B,"29,971",China,"Renhuai, China",,Consumer Staples,Jing Ren Li,1999,,$232.78,,600519.SS,,$14.6B
Nestlé,"Food, Drink & Tobacco",$331.82 B,"276,000",Switzerland,,,,Ulf Mark Schneider,1866,,$120.66,,NESN.SW,,$95.3B
Samsung,Consumer Electronics,$312.57 B,,South Korea,"Suwon-si, South Korea",,Technology,Mr. Jong-Hee Han,,,$46.54,,005930.KS,,
Home Depot,,$334.28 B,,USA,,,,,,,$327.99,,HD,,
Chevron,,$350.04 B,,USA,,,,,,,$181.03,,CVX,,
Chevron,"Construction, Oil & Gas Operations, Mining and Chemicals",$316.23 B,"23,729",United States,"San Ramon, CA, United States",,Energy,Michael K. Wirth,1879,,,,,,$156.3B
Mastercard,,$346.18 B,,USA,,,,,,,$360.06,,MA,,
Mastercard,Business Services & Supplies,$343.27 B,"24,000",United States,"Purchase, NY, United States",,Financials,Michael Miebach,1966,,,,,,$18.9B
Procter & Gamble,,$356.90 B,,USA,,,,,,,$150.61,,PG,,
Procter & Gamble,Packaged Goods,$386.53 B,"26,000",United States,"Cincinnati, OH, United States",,Consumer Staples,Jon R. Moeller,1837,,,,,,$79.6B
Eli Lilly,,$356.08 B,,USA,,,,,,,$374.76,,LLY,,
Eli Lilly,Drugs & Biotechnology,$265.45 B,"36,000",United States,,,,David A. Ricks,1876,,,,,,$28.3B
Tencent,Internet Content & Information,$378.34 B,"112,771",China,"Shenzhen, China",,Communication Services,Mr. Huateng Pony Ma,,,$39.29,,TCEHY,,
Walmart,,$415.87 B,,USA,,,,,,,$153.22,,WMT,,
Walmart,Retailing,$431.64 B,"2,300,000",United States,"Bentonville, AR, United States",,Consumer Staples,C. Douglas McMillon,1962,,,,,,$572.8B
Exxon Mobil,,$452.43 B,,USA,,,,,,,$109.86,,XOM,,
Visa,,$460.99 B,,USA,,,,,,,$217.66,,V,,
Visa,Banking and Financial Services,$436.49 B,"21,500",United States,"San Francisco, CA, United States",,Financials,Alfred F. Kelly Jr.,1958,,,,,,$25.5B
Johnson & Johnson,,$467.67 B,,USA,,,,,,,$178.88,,JNJ,,
Johnson & Johnson,Drug Manufacturers—General,$475.93 B,"130,000",United States,"New Brunswick, NJ, United States",,Healthcare,Joaquin Duato,1886,,,,JNJ,,$94.9B
Tesla,,$606.20 B,99.290,USA,,,,,,,$194.86,,TSLA,,$74.86 B
Berkshire Hathaway,,$696.53 B,,USA,,,,,,,$316.15,,,,
Berkshire Hathaway,Diversified Financials,$741.48 B,"372,000",United States,"Omaha, NE, United States",,Financials,Warren Edward Buffett,1939,,,,,,$276.1B
Amazon,,$960.28 B,,USA,,,,,,,$94.13,,AMZN,,
Amazon,Retail and Wholesale,"$1,468.4 B","1,608,000",United States,"Seattle, WA, United States",,Consumer Discretionary,Andy Jassy,1994,,,,,,$469.8B
Microsoft,,$1.901 T,221.000,USA,,,,,,,$255.02,,MSFT,,$203.07 B
Microsoft,"IT, Internet, Software & Services","$2,054.37 B","103,000",United States,"Redmond, WA, United States",,Technology,Satya Nadella,1975,,,,,,$184.9B
Saudi Aramco,,$1.938 T,,Saudi Arabia,,,,,,,$8.81,,2222.SR,,
Toronto Dominion Bank,,$125.25 B,,Canada,,,,,,,$68.59,,TD,,
Elevance Health,,$125.66 B,,USA,,,,,,,$523.60,,ELV,,
Elevance Health,Drugs & Biotechnology,$121.25 B,"98,200",United States,,,,Gail K. Boudreaux,2004,,,,,,$144.3B
Goldman Sachs,,$128.87 B,49.100,USA,,,,,,,$380.58,,GS,,$49.41 B
Lockheed Martin,,$130.04 B,,USA,,,,,,,$496.23,,LMT,,
Lockheed Martin,Aerospace & Defense,$118.82 B,"106,020",United States,,,,James D. Taiclet,1912,,,,,,$65.8B
Lowe's Companies,,$129.91 B,,USA,,,,,,,$214.84,,LOW,,
Prosus,Internet Content & Information,$131.50 B,"23,939",Netherlands,"Amsterdam, Netherlands",,Communication Services,Mr. Bob van Dijk,,,$65.60,,PRX.AS,,
Unilever,Packaged Goods,$131.15 B,"148,000",UK,"London, United Kingdom",,Consumer Staples,Alan Jope,1929,,$51.50,,UL,,$62B
Unilever,Packaged Goods,$129.09 B,"148,000",united-kingdom,"London, United Kingdom",,Consumer Staples,Alan Jope,1929,,$50.98,,,,$62B
Union Pacific Corporation,,$132.01 B,30.582,USA,,,,,,,$214.73,,UNP,,$22.68 B
Union Pacific Corporation,Railroads,$184.19 B," 29,905",United States,"Omaha,NE,UnitedStates",,Industrials, Mr. Lance M. Fritz, 1969 ,,,,UNP,,
Meituan,Internet Retail,$133.48 B,"69,205",China,"Beijing, China",,Consumer Discretionary,Mr. Xing Wang,,,$21.57,,3690.HK,,
Deere & Company,,$134.49 B,,USA,,,,,,,$445.61,,DE,,
Deere & Company,Farm & Heavy Construction Machinery,$130.31 B,"75,600",United States,"Moline,IL,UnitedStates",,Industrials,John C. May,1837,,,,DE,,$44.5B
Dior,Luxury Goods,$135.84 B,"119,243",France,"Paris, France",,Consumer Discretionary,Mr. Sidney Toledano,,,$751.90,,CDI.PA,,
Royal Bank Of Canada,,$139.63 B,,Canada,,,,,,,$99.64,,RY,,
Qualcomm,Semiconductors,$149.68 B,"45,000",United States,"San Diego, CA, United States",,Technology,Cristiano R. Amon,1985,,,,,,$36B
Netflix,,$142.58 B,,USA,,,,,,,$320.41,,NFLX,,
Netflix,Media & Advertising,$95.68 B,"11,300",United States,"Los Gatos, CA, United States",,Communication Services,Reed Hastings Ted Sarandos,1997,,,,,,$30.4B
Salesforce,,$144.55 B,,USA,,,,,,,$144.56,,CRM,,
Honeywell,,$147.29 B,,USA,,,,,,,$219.08,,HON,,
Raytheon Technologies,,$148.49 B,,USA,,,,,,,$101.01,,RTX,,
Raytheon Technologies,Aerospace & Defense,$149.76 B,"174,000",United States,"Waltham, MA, United States",,Industrials,Gregory J. Hayes,1922,,,,,,$64.4B
China Mobile,,$149.18 B,,China,,,,,,,$6.59,,0941.HK,,
China Mobile,Telecommunications Services,$147.05 B,"449,934",Hong Kong,"Hong Kong, Hong Kong",,Communication Services,Xin Dong,1997,,,,,,$131.5B
China Construction Bank,Banking,$153.33 B,"349,671",China,"Beijing, China",,Financials,Wang Zuji,2014,,$0.78,,601939.SS,,$202.1B
Amgen,,$152.34 B,,USA,,,,,,,$285.51,,AMGN,,
Amgen,Drugs & Biotechnology,$133.63 B,"24,200",United States,"Thousand Oaks, CA, United States",,Healthcare,Robert A. Bradway,1980,,,,,,$26B
Tata Consultancy Services,IT Software & Services,$154.57 B,"592,195",India,,,,Rajesh Gopinathan,1968,,$42.24,,TCS.NS,,$25.7B
Charles Schwab,,$153.93 B,35.200,USA,,,,,,,$82.46,,SCHW,,$19.97 B
Charles Schwab,Banking and Financial Services,$127.6 B,"33,000",United States,,,,Walter W. Bettinger II,1971,,,,,,$19B
Adobe,,$158.77 B,,USA,,,,,,,$341.53,,ADBE,,
Adobe,"IT, Internet, Software & Services",$193.1 B,"25,988",United States,"San Jose, CA, United States",,Technology,Shantanu Narayen,1982,,,,,,$16.1B
Adobe,,$160.10 B,25.988,ADBE,,,,,,,$344.38,,,,$17.60 B
Comcast,,$155.03 B,,USA,,,,,,,$35.86,,CMCSA,,
Comcast,Media & Advertising,$205.72 B,"132,300",United States,"Philadelphia, PA, United States",,Communication Services,Brian L. Roberts,1963,,,,,,$116.4B
Morgan Stanley,,$155.65 B,81.567,USA,,,,,,,$92.10,,MS,,$52.02 B
Morgan Stanley,Capital Markets,$164.05 B,"74,814",United States,"New York, NY, United States",,Financials,James P. Gorman,1924,,,,MS,,$60.2B
Verizon,,$160.34 B,,USA,,,,,,,$38.18,,VZ,,
Texas Instruments,,$161.23 B,,USA,,,,,,,$177.66,,TXN,,
Texas Instruments,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$159.94 B,"31,000",United States,"Dallas, TX, United States",,Technology,Richard (Rich) K. Templeton,1930,,,,,,$18.3B
Philip Morris,,$161.68 B,,USA,,,,,,,$104.30,,PM,,
Linde,Chemicals,$166.77 B,"72,327",UK,"Guildford, United Kingdom",,Basic Materials,Sanjiv Lamba,1879,,$337.35,,LIN,,$30.8B
Linde,Chemicals,$163.19 B,"72,327",united-kingdom,"Guildford, United Kingdom",,Basic Materials,Sanjiv Lamba,1879,,$331.31,,,,$30.8B
Linde,,$164.56 B,65.293,LIN,,,,,,,$334.11,,,,$33.76 B
United Parcel Service,,$163.80 B,500.000,USA,,,,,,,$189.39,,UPS,,$101.07 B
United Parcel Service,Transportation and Logistics,$163.03 B,"534,000",United States,,,,Carol B. Tomé,1907,,$189.93,,,,$97.2B
Hermès,Luxury Goods,$167.38 B,"17,595",France,"Paris, France",,Consumer Discretionary,,1837,,"$1,601",,RMS.PA,,€8.982 billion (2021)
Nextera Energy,,$169.30 B,,USA,,,,,,,$85.20,,NEE,,
Volkswagen,Auto Manufacturers,$87.16 B,"645,318",Germany,"Wolfsburg, Germany",,Consumer Discretionary,Dr. Herbert Diess,,,$146.40,,VOW3.DE,,
Glencore,,$88.10 B,,Switzerland,,,,,,,$6.84,,GLCNF,,
Canadian National Railway,Transportation,$87.19 B,"22,604",Canada,,,,Tracy A. Robinson,1832,,$127.83,,CNI,,$11.5B
Wuliangye Yibin,"Food, Drink & Tobacco",$90.17 B,"25,882",China,,,,Tao Zou,1998,,$23.23,,000858.SZ,,$8.5B
Chubb,Insurance,$90.96 B,"31,000",Switzerland,,,,Evan G. Greenberg,1985,,$219.16,,CB,,$41B
Applied Materials,,$91.80 B,31.900,USA,,,,,,,$106.71,,AMAT,,$25.78 B
Applied Materials,Semiconductors,$99.65 B,"27,000",United States,"Santa Clara, CA, United States",,Technology,Gary E. Dickerson,1967,,,,,,$24.2B
Citigroup,,$91.49 B,,USA,,,,,,,$47.24,,C,,
Citigroup,Banking and Financial Services,$101.48 B,"223,400",United States,,,,Jane Fraser,1812,,,,,,$79.9B
Stryker Corporation,,$92.00 B,,USA,,,,,,,$243.11,,SYK,,
Stryker Corporation,Medical Devices,$101.41 B,"46,000",United States,"Kalamazoo, MI, United States",,Healthcare,Mr. Kevin A. Lobo,1941,,,,SYK,,US$17.108 billion (2021)
Mondelez,,$93.28 B,,USA,,,,,,,$68.31,,MDLZ,,
Airbus,Aerospace & Defense,$92.04 B,"121,056",Netherlands,"Leiden, Netherlands",,Industrials,Mr. Guillaume M.J.D Faury,,,$116.87,,AIR.PA,,
General Electric,,$94.93 B,,USA,,,,,,,$86.88,,GE,,
General Electric,"Engineering, Manufacturing",$98.13 B,"168,000",Canada,"Boston, MA, United States",,Industrials,H. Lawrence Culp Jr.,1892,,$80.84,,,,$74.1B
British American Tobacco,"Food, Drink & Tobacco",$94.99 B,"55,981",UK,,,,Jack Bowles,1902,,$42.31,,BTI,,$35.3B
British American Tobacco,"Food, Drink & Tobacco",$85.65 B,"55,981",united-kingdom,,,,Jack Bowles,1902,,$38.31,,,,$35.3B
British American Tobacco,,$85.85 B,54.365,BTI,,,,,,,$38.40,,,,$21.64 B
Intuitive Surgical,,$96.20 B,9.793,USA,,,,,,,$272.25,,ISRG,,$6.11 B
Intuitive Surgical,Health Care Equipment & Services,$90.64 B,"9,793",United States,,,,Gary S. Guthart,1995,,,,,,$5.9B
American Tower,,$102.13 B,,USA,,,,,,,$219.37,,AMT,,
American Tower,"Telecommunications Services, Cable Supplier",$119.49 B,"2,291",United States,"Boston, MA, United States",,Real Estate,Thomas A. Bartlett,1995,,,,,,$9.4B
Cigna,,$100.03 B,,USA,,,,,,,$327.20,,CI,,
Cigna,Insurance,$81.2 B,"73,700",United States,,,,David Cordani,1792,,,,,,$174.3B
Porsche,,$102.65 B,,Germany,,,,,,,$112.68,,P911.DE,,
Keyence,Technology Hardware & Equipment,$102.68 B,"8,380",Japan,"Osaka, Japan",,Technology,Akinori Yamamoto,1972,,$423.40,,6861.T,,$6.4B
Sony,Consumer Durables,$103.02 B,"109,700",Japan,"Tokyo, Japan",,Technology,Kenichiro Yoshida,1960,,$82.79,,SONY,,$89.9B
Deutsche Telekom,"Telecommunications Services, Cable Supplier",$102.87 B,"217,000",Germany,,,,Timotheus Höttges,1995,,$20.69,,DTE.DE,,$128.6B
Medtronic,Health Care Equipment & Services,$105.90 B,"90,000",Ireland,"Dublin, Ireland",,Healthcare,Geoffrey Straub Martha,1949,,$79.62,,MDT,,$31.8B
Jingdong Mall,,$105.71 B,,China,,,,,,,$58.64,,JD,,
Diageo,"Food, Soft Beverages, Alcohol & Tobacco",$108.84 B,"27,987",UK,,,,Ivan M. Menezes,1997,,$191.39,,DEO,,$19B
Diageo,"Food, Soft Beverages, Alcohol & Tobacco",$105.50 B,"27,987",united-kingdom,,,,Ivan M. Menezes,1997,,$186.15,,,,$19B
Diageo,,$103.84 B,28.558,DEO,,,,,,,$183.21,,,,$16.23 B
Prologis,,$107.94 B,,USA,,,,,,,$116.94,,PLD,,
Prologis,Real Estate,$126.34 B,Not found,United States,"San Francisco, CA, United States",,Real Estate,Not found,1993,,,,,,$4.8B
Boeing,,$108.98 B,,USA,,,,,,,$182.87,,BA,,
Boeing,Aerospace & Defense,$104.45 B,"142,000",Canada,,,,David L. Calhoun,1916,,$212.13,,,,$62.3B
Pinduoduo,Retailing,$109.16 B,Not found,China,"Shanghai, China",,Consumer Discretionary,Lei Chen,Not found,,$86.34,,PDD,,$14.6B
Gilead Sciences,,$111.66 B,,USA,,,,,,,$89.03,,GILD,,
Gilead Sciences,Drugs & Biotechnology,$78.17 B,"14,000",United States,,,,Daniel O'Day,1987,,,,,,$27.4B
Automatic Data Processing,,$111.96 B,,USA,,,,,,,$269.90,,ADP,,
Automatic Data Processing,Business Services & Supplies,$93.89 B,"56,000",United States,,,,Carlos Rodriguez,1949,,,,,,$15.7B
Rio Tinto,"Construction, Oil & Gas Operations, Mining and Chemicals",$113.15 B,"49,000",UK,"London, United Kingdom",,Basic Materials,Jakob Stausholm,1873,,$69.82,,RIO,,$63.5B
Rio Tinto,"Construction, Oil & Gas Operations, Mining and Chemicals",$126.11 B,"49,000",united-kingdom,"London, United Kingdom",,Basic Materials,Jakob Stausholm,1873,,$77.81,,,,$63.5B
Rio Tinto,,$125.69 B,49.0,RIO,,,,,,,$77.55,,,,$63.49 B
Siemens,"Engineering, Manufacturing",$113.81 B,"303,000",Germany,"Munich, Germany",,Industrials,Roland Emil Busch,1847,,$141.85,,SIE.DE,,$76.5B
Sanofi,Drug Manufacturers—General,$114.09 B,"95,442",France,"Paris, France",,Healthcare,Mr. Paul Hudson,1973,,$45.01,,SNY,,€36.12 billion (2020)
Ping An Insurance,Insurance—Life,$115.00 B,"355,982",China,"Shenzhen, China",,Financials,Mr. Bo Yao,,,$6.36,,601318.SS,,
Intuit,,$114.59 B,,USA,,,,,,,$407.92,,INTU,,
Intuit,IT Software & Services,$125.37 B,"13,500",United States,"Mountain View, CA, United States",,Technology,Sasan Goodarzi,1983,,,,,,$11.4B
China Life Insurance,Insurance,$115.97 B,"103,262",China,,,,Heng Xuan Su,2003,,$5.03,,601628.SS,,$130.5B
Equinor,Oil & Gas Operations,$115.89 B,"21,126",Norway,,,,Anders Opedal,1972,,$36.87,,EQNR,,$88.4B
American Express,,$117.12 B,,USA,,,,,,,$156.75,,AXP,,
American Express,Banking and Financial Services,$136.72 B,"22,000",United States,"New York, NY, United States",,Financials,Stephen J. Squeri,1850,,,,,,$46.3B
Starbucks,,$120.57 B,383.000,USA,,,,,,,$105.05,,SBUX,,$30.23 B
Starbucks,Restaurants,$89.63 B,"383,000",United States,"Seattle, WA, United States",,Consumer Discretionary,Howard Schultz,1971,,,,,,$30.4B
Intel,,$121.37 B,,USA,,,,,,,$29.41,,INTC,,
Intel,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$190.29 B,"121,100",United States,"Santa Clara, CA, United States",,Technology,Patrick Gelsinger,1968,,,,,,$79B
Caterpillar,,$122.88 B,,USA,,,,,,,$236.13,,CAT,,
Caterpillar,"Engineering, Manufacturing",$115.91 B,"107,700",United States,,,,James Umpleby,1925,,,,,,$51B
Commonwealth Bank,Banking,$122.92 B,"44,375",Australia,,,,Matthew Comyn,1911,,$72.69,,CBA.AX,,$21.9B
Target,,$75.56 B,,USA,,,,,,,$164.16,,TGT,,
Target,Retail and Wholesale,$111.76 B,"450,000",United States,,,,Brian Cornell,1902,,,,,,$106B
Duke Energy,,$76.63 B,,USA,,,,,,,$99.52,,DUK,,
Duke Energy,Utilities,$87.98 B,"27,605",United States,,,,Lynn J. Good,1904,,,,,,$25.1B
Canadian Pacific Railway,Transportation,$77.08 B,"11,834",Canada,,,,Keith Edward Creel,1881,,$82.35,,CP,,$6.4B
Progressive,,$77.51 B,,USA,,,,,,,$132.51,,PGR,,
Progressive,Insurance,$63.37 B,"49,000",United States,,,,Tricia Griffith,1937,,,,,,$48.1B
Vale,Materials,$77.98 B,"72,266",Brazil,,,,Eduardo De Salles Bartolomeo,1942,,$16.72,,VALE,,$54.4B
Air Liquide,Chemicals,$78.78 B,"66,436",France,,,,Benoît Potier,1902,,$147.96,,AI.PA,,$27.6B
China Shenhua Energy,Materials,$79.02 B,"77,872",China,,,,Zhi Ren Lu,2004,,$4.19,,601088.SS,,$52B
Vertex Pharmaceuticals,,$82.49 B,,USA,,,,,,,$321.37,,VRTX,,
Vertex Pharmaceuticals,Drugs & Biotechnology,$68.84 B,"3,900",United States,,,,Reshma Kewalramani,1989,,,,,,$7.6B
Vertex Pharmaceuticals,,$77.24 B,3.9,VRTX,,,,,,,$300.94,,,,$8.70 B
Inditex,Retail and Wholesale,$82.91 B,"165,042",Spain,,,,Oscar García Maceiras,1985,,$13.32,,IDEXY,,$32.6B
Enbridge,"Construction, Oil & Gas Operations, Mining and Chemicals",$82.78 B,"13,000",Canada,,,,Albert Monaco,1949,,$40.61,,ENB,,$37.6B
Regeneron Pharmaceuticals,,$83.46 B,,USA,,,,,,,$766.39,,REGN,,
Regeneron Pharmaceuticals,Drugs & Biotechnology,$74.68 B,"10,000",United States,,,,Leonard S. Schleifer,1988,,,,,,$16.1B
Northrop Grumman,,$83.97 B,,USA,,,,,,,$545.60,,NOC,,
Northrop Grumman,Aerospace & Defense,$69.84 B,"90,000",United States,,,,Kathy Warden,1939,,,,,,$35.7B
Schneider Electric,"Engineering, Manufacturing",$84.02 B,"128,000",France,,,,Jean-Pascal Tricoire,1836,,$147.94,,SU.PA,,$34.2B
Al Rajhi Bank,Banking,$85.28 B,"9,300",Saudi Arabia,,,,Walid bin Abdullah Al-Moqbel,1957,,$21.32,,1120.SR,,$6.7B
Estee Lauder,,$85.28 B,,USA,,,,,,,$239.01,,EL,,
Altria Group,,$85.36 B,,USA,,,,,,,$47.63,,MO,,
Altria Group,"Food, Drink & Tobacco",$100.66 B,"6,000",United States,,,,Not found,1919,,,,,,$21.1B
Analog Devices,,$85.88 B,,USA,,,,,,,$168.63,,ADI,,
Analog Devices,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$81.25 B,"24,700",United States,,,,Vincent T. Roche,1965,,,,,,$8.4B
Infosys,IT Software & Services,$86.00 B,"335,000",India,,,,Salil S. Parekh,1981,,$20.19,,INFY,,$16.3B
Allianz,Insurance,$86.06 B,"155,411",Germany,,,,Oliver Bäte,1890,,$213.41,,ALV.DE,,$138.6B
Moderna,,$70.05 B,3.7,USA,,,,,,,$182.35,,MRNA,,$20.67 B
Moderna,Drugs & Biotechnology,$56.56 B,"2,700",United States,,,,Stéphane Bancel,2010,,,,,,$18.4B
Illinois Tool Works,,$70.12 B,,USA,,,,,,,$228.29,,,,
Illinois Tool Works,Capital Goods,$63.42 B,"45,000",United States,,,,Ernest Scott Santi,1912,,,,,,$14.5B
General Dynamics,,$70.21 B,,USA,,,,,,,$255.74,,GD,,
General Dynamics,Aerospace & Defense,$66.42 B,"89,775",United States,,,,Phebe N. Novakovic,1952,,,,,,$38.5B
Bank Central Asia,Banking,$71.13 B,"25,370",Indonesia,,,,Jahja Setiaatmadja,1955,,$0.58,,BBCA.JK,,$6.1B
Brookfield Asset Management,Banking and Financial Services,$71.48 B,"150,000",Canada,,,,James Bruce Flatt,1899,,$45.13,,BAM,,$78.8B
Zurich Insurance Group,Insurance,$71.25 B,"56,000",Switzerland,,,,Mario Greco,1872,,$480.52,,ZURN.SW,,$69.6B
Becton Dickinson,,$71.51 B,,USA,,,,,,,$252.38,,BDX,,
Becton Dickinson,Health Care Equipment & Services,$72.63 B,"72,000",United States,,,,Tom Polen,1897,,,,,,$19.9B
Kering,"Clothing, Shoes, Sports Equipment",$72.18 B,"42,800",France,,,,François Jean Henri Pinault,1963,,$589.41,,KER.PA,,$20.9B
Sinopec,Oil & Gas Operations,$73.00 B,"385,691",China,,,,Fu Chengyu,2000,,$0.64,,600028.SS,,$384.8B
Zoetis,,$73.36 B,,USA,,,,,,,$157.42,,ZTS,,
Zoetis,Drugs & Biotechnology,$85.74 B,"12,100",United States,,,,Kristin C. Peck,1952,,,,,,$7.8B
Southern Company,,$73.31 B,,USA,,,,,,,$67.34,,SO,,
Southern Company,Utilities,$80.48 B,"27,300",United States,,,,Tom Fanning,1945,,,,,,$23.2B
Gazprom,Oil & Gas Operations,$73.26 B,"477,600",Russia,,,,Alexei Borisovich Miller,1989,,$3.10,,GAZP.ME,,$117.3B
Petrobras,Oil & Gas Operations,$74.35 B,"45,532",Brazil,,,,José Mauro Ferreira,1953,,$11.40,,PBR,,$83.9B
Compagnie Financière Richemont,,$74.37 B,,Switzerland,,,,,,,$131.07,,CFR.SW,,
Schlumberger,,$74.85 B,,USA,,,,,,,$52.79,,SLB,,
Schlumberger,Oil & Gas Operations,$58.86 B,"92,000",United States,,,,Olivier Le Peuch,1926,,,,,,$23.7B
Hindustan Unilever,,$75.47 B,,India,,,,,,,$32.12,,HINDUNILVR.NS,,
Iberdrola,Utilities,$69.84 B,"45,000",Spain,,,,José Ignacio Sánchez Galán,1992,,$11.43,,IBE.MC,,$46.2B
Waste Management,,$69.70 B,,USA,,,,,,,$169.81,,WM,,
Waste Management,Utilities,$65.39 B,"48,500",Canada,,,,Jim Fish,1971,,$153.91,,,,$17.9B
Uber,,$57.33 B,32.600,USA,,,,,,,$28.75,,UBER,,$29.04 B
Uber,IT Software & Services,$60.27 B,"29,300",United States,,,,Dara Khosrowshahi,2009,,,,,,$17.5B
China Tourism Group Duty Free,,$58.31 B,,China,,,,,,,$28.41,,601888.SS,,
Vinci,,$58.33 B,,France,,,,,,,$103.46,,DG.PA,,
London Stock Exchange,Diversified Financials,$59.00 B,"23,261",UK,,,,David Adam Schwimmer,1802,,$106.36,,LS4C.F,,$9.3B
London Stock Exchange,Diversified Financials,$49.55 B,"23,261",united-kingdom,,,,David Adam Schwimmer,1802,,$92.31,,,,$9.3B
London Stock Exchange,,$48.97 B,23.261,LS4C.F,,,,,,,$91.23,,,,$1.94 B
Norfolk Southern,,$58.82 B,18.100,USA,,,,,,,$254.07,,NSC,,$12.36 B
Norfolk Southern,Transportation,$67.06 B,"18,100",United States,,,,Alan H. Shaw,1883,,,,,,$11.1B
Activision Blizzard,,$59.29 B,,USA,,,,,,,$75.76,,ATVI,,
Activision Blizzard,Consumer Durables,$61.39 B,"9,800",United States,,,,Robert A. Kotick,2008,,,,,,$8.8B
