,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
190,Fast Retailing Co. Ltd,Apparel Retail,$52.29 B," 55,589",Japan,"Yamaguchi,Japan",,Consumer Discretionary, Mr. Tadashi  Yanai,,,,,9983,,
191,"Liberty Bancshares, Inc. (OH)",Banks,$52.30 B,,United States,"Ada,OH,UnitedStates",,Financials, Mr. Ronald L. Zimmerly Jr.,,,,,LBSI,,
192,Occidental Petroleum Corporation,Oil & Gas E&P,$52.30 B," 11,678",United States,"Houston,TX,UnitedStates",,Energy, Ms. Vicki A. Hollub, June 1909,,,,OXY,,
193,Sempra Energy,Utilities—Diversified,$52.47 B," 15,390",United States,"SanDiego,CA,UnitedStates",,Utilities, Mr. Jeffrey Walker Martin, 1998,,,,SRE,,
194,BASF SE,Chemicals,$52.76 B," 108,718",Germany,"LudwigshafenamRhein,Germany",,Basic Materials, Dr. Martin  Brudermuller,,,,,BAS,,
195,Thomson Reuters Corporation,Consulting Services,$53.30 B," 24,400",Canada,"Toronto,ON,Canada",,Industrials," Mr. Stephen John Hasker B.Com., M.B.A.",,,,,TRI,,
196,London Stock Exchange Group plc,Financial Data & Stock Exchanges,$53.33 B," 24,158",United Kingdom,"London,UnitedKingdom",,Financials, Mr. David A. Schwimmer, 23 June 2007,,,,LSEG,,
197,Lonza Group Ltd,Diagnostics & Research,$53.76 B," 16,218",Switzerland,"Basel,Switzerland",,Healthcare,,,,,,LONN,,
198,Ferrari N.V.,Auto Manufacturers,$53.78 B," 4,609",Italy,"Maranello,MO,Italy",,Consumer Discretionary, Mr. Benedetto  Vigna, 13 September 1939,,,,RACE,,
199,Snap Inc.,Internet Content & Information,$53.86 B," 5,661",United States,"SantaMonica,CA,UnitedStates",,Communication Services, Mr. Evan  Spiegel," September 16, 2011",,,,SNAP,,
200,"Fortinet, Inc.",Software—Infrastructure,$53.86 B," 10,195",United States,"Sunnyvale,CA,UnitedStates",,Technology, Mr. Ken  Xie, 2000,,,,FTNT,,
201,Dollar General Corporation,Discount Stores,$54.30 B," 163,000",United States,"Goodlettsville,TN,UnitedStates",,Consumer Staples, Mr. Todd J. Vasos, October 1939,,,,DG,,
202,"American International Group, Inc.",Insurance—Diversified,$54.31 B," 36,600",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Peter Salvatore Zaffino," December 19, 1919",,,,AIG,,
203,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,$54.54 B," 17,700",United States,"Findlay,OH,UnitedStates",,Energy, Mr. Michael J. Hennigan," November 9, 2009",,,,MPC,,
204,Canadian Pacific Railway Limited,Railroads,$54.59 B," 11,834",Canada,"Calgary,AB,Canada",,Industrials, Mr. Keith E. Creel, 16 February 1881,,,,CP,,
205,Ambev SA,Beverages—Brewers,$54.69 B," 53,000",Brazil,"SÃ£oPaulo,SP,Brazil",,Consumer Staples, Mr. Jean Jereissati Neto,,,,,ABEV3,,
206,Heineken N.V.,Beverages—Brewers,$54.87 B," 81,070",Netherlands,"Amsterdam,Netherlands",,Consumer Staples, Mr. Rudolf Gijsbert Servaas van den Brink,,,,,HEIA,,
207,SoftBank Group Corp.,Telecom Services,$54.93 B," 58,786",Japan,"Tokyo,Japan",,Communication Services, Mr. Masayoshi  Son,,,,,9984,,
208,Ergo Science Corp,Staffing & Employment Services,$55.23 B,,United States,"NorthAndover,MA,UnitedStates",,Industrials,,,,,,ERGN,,
209,Keurig Dr Pepper Inc.,Beverages—Non-Alcoholic,$55.28 B," 27,500",United States,"Burlington,MA,UnitedStates",,Consumer Staples, Mr. Robert J. Gamgort, 1981,,,,KDP,,
210,Chugai Pharmaceutical Co. Ltd,Drug Manufacturers—General,$55.31 B," 7,664",Japan,"Tokyo,Japan",,Healthcare, Dr. Osamu  Okuda,,,,,4519,,
211,"Daikin Industries,Ltd.",Building Products & Equipment,$55.58 B," 84,870",Japan,"Osaka,Japan",,Industrials, Mr. Masanori  Togawa,,,,,6367,,
212,National Grid plc,Utilities—Diversified,$55.88 B," 23,683",United Kingdom,"London,UnitedKingdom",,Utilities,, 1990,,,,NG.,,
213,Zijin Mining Group Co Ltd,Gold,$43.93 B," 43,876",China,"Longyan,China",,Basic Materials,,,,,,601899,,
214,Wipro Limited,Information Technology Services,$43.98 B," 220,000",India,"Bengaluru,India",,Technology, Mr. Thierry  Delaporte, 29 December 1945,,,,WIPRO,,
215,"Samsung Biologics Co.,Ltd.",Biotechnology,$44.01 B," 3,247",South Korea,"Incheon,SouthKorea",,Healthcare, Mr. John Chongbo  Rim,,,,,207940,,
216,"Sumitomo Mitsui Financial Group, Inc.",Banks,$44.06 B," 86,800",Japan,"Tokyo,Japan",,Financials, Mr. Jun  Ohta," June 6, 1996",,,,8316,,
217,"Chipotle Mexican Grill, Inc.",Restaurants,$44.11 B," 97,660",United States,"NewportBeach,CA,UnitedStates",,Consumer Discretionary, Mr. Brian R. Niccol," July 13, 1993",,,,CMG,,
218,"Cadence Design Systems, Inc.",Software—Application,$44.23 B," 9,300",United States,"SanJose,CA,UnitedStates",,Technology, Dr. Anirudh  Devgan Ph.D., 1988,,,,CDNS,,
219,Cintas Corporation,Specialty Business Services,$44.32 B," 40,000",United States,"Cincinnati,OH,UnitedStates",,Industrials, Mr. Todd M. Schneider, 1929,,,,CTAS,,
220,IQVIA Holdings Inc.,Diagnostics & Research,$44.32 B," 79,000",United States,"Durham,NC,UnitedStates",,Healthcare, Mr. Ari  Bousbib, 1982,,,,IQV,,
221,"AutoZone, Inc.",Specialty Retail,$44.39 B," 65,100",United States,"Memphis,TN,UnitedStates",,Consumer Discretionary, Mr. William C. Rhodes III," July 4, 1979",,,,AZO,,
222,TE Connectivity Ltd.,Electronic Components,$44.78 B," 85,000",Switzerland,"Schaffhausen,Switzerland",,Technology, Mr. Terrence R. Curtin CPA, 2007,,,,TEL,,
223,Intesa Sanpaolo S.p.A.,Banks,$44.95 B," 78,000",Italy,"Turin,TO,Italy",,Financials, Mr. Carlo  Messina,,,,,ISP,,
224,PJSC Lukoil,Oil & Gas Integrated,$44.96 B," 101,374",Russia,"Moscow,Russia",,Energy, Mr. Vagit Yusufovich Alekperov,,,,,LKOH,,
225,Saudi Arabian Mining Company,Other Industrial Metals & Mining,$45.00 B,,Saudi Arabia,"Riyadh,SaudiArabia",,Basic Materials, Mr. Robert G. Wilt,,,,,1211,,
226,Mitsui & Co. Ltd,Oil & Gas E&P,$45.09 B," 44,509",Japan,"Tokyo,Japan",,Energy, Mr. Kenichi  Hori,,,,,8031,,
227,"Datadog, Inc.",Software—Application,$45.13 B," 3,200",United States,"NewYork,NY,UnitedStates",,Technology, Mr. Olivier  Pomel, 2010,,,,DDOG,,
228,"Constellation Brands, Inc.",Beverages—Wineries & Distilleries,$45.21 B," 9,300",United States,"Victor,NY,UnitedStates",,Consumer Staples, Mr. William A. Newlands, 1945,,,,STZ,,
229,Infineon Technologies AG,Semiconductors,$45.35 B," 50,280",Germany,"Munich,Germany",,Technology, Dr. Reinhard  Ploss,,,,,IFXA,,
230,"The Travelers Companies, Inc.",Insurance—Property & Casualty,$45.56 B," 30,184",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Alan David Schnitzer, 1853,,,,TRV,,
231,"IDEXX Laboratories, Inc.",Diagnostics & Research,$45.64 B," 10,350",United States,"Westbrook,ME,UnitedStates",,Healthcare, Mr. Jonathan J. Mazelsky, 1983,,,,IDXX,,
232,Vodafone Group plc,Telecom Services,$45.74 B," 105,000",United Kingdom,"Newbury,UnitedKingdom",,Communication Services, Mr. Nicholas Jonathan Read, 16 September 1991,,,,VOD,,
233,Vanjia Corp,Residential Construction,$45.74 B,,United States,"Houston,TX,UnitedStates",,Consumer Discretionary, Ms. Su Hua Tian,,,,,VNJA,,
234,Amphenol Corporation,Electronic Components,$45.77 B," 90,000",United States,"Wallingford,CT,UnitedStates",,Technology, Mr. Richard Adam Norwitt, 1932,,,,APH,,
235,The Hershey Company,Confectioners,$45.83 B," 16,620",United States,"Hershey,PA,UnitedStates",,Consumer Staples, Ms. Michele Gross Buck," February 8, 1894",,,,HSY,,
236,Takeda Pharmaceutical Company Limited,Drug Manufacturers—Specialty & Generic,$45.89 B," 47,099",Japan,"Tokyo,Japan",,Healthcare, Mr. Christophe  Weber," Doshomachi, Osaka, Japan June 12, 1781",,,,4502,,
237,"Baidu, Inc.",Internet Content & Information,$45.98 B," 45,500",China,"Beijing,China",,Communication Services, Mr. Yanhong  Li," January 1, 2000",,,,9888,,
238,Sika AG,Specialty Chemicals,$46.01 B," 26,272",Switzerland,"Baar,Switzerland",,Basic Materials,,,,,,SIKA,,
239,adidas AG,Footwear & Accessories,$46.13 B," 53,870",Germany,"Herzogenaurach,Germany",,Consumer Discretionary, Mr. Kasper Bo Rorsted,,,,,ADS1,,
240,Nidec Corp,Specialty Industrial Machinery,$46.33 B, 758,Japan,"Kyoto,Japan",,Industrials, Mr. Jun  Seki,,,,,6594,,
241,Banco Bradesco SA,Banks,$46.71 B," 85,264",Brazil,"Osasco,SP,Brazil",,Financials," Mr. Octavio  de Lazari Jr., Junior"," March 10, 1943",,,,BBDC3,,
242,"DexCom, Inc.",Diagnostics & Research,$46.86 B," 6,300",United States,"SanDiego,CA,UnitedStates",,Healthcare, Mr. Kevin Ronald Sayer, 1999,,,,DXCM,,
243,Nucor Corporation,Steel,$46.86 B," 28,800",United States,"Charlotte,NC,UnitedStates",,Basic Materials, Mr. Leon J. Topalian,,,,,NUE,,
244,Cognizant Technology Solutions Corporation,Information Technology Services,$47.07 B," 330,600",United States,"Teaneck,NJ,UnitedStates",,Technology, Mr. Brian  Humphries, 26 January 1994,,,,CTSH,,
245,Open Joint Stock Company OMZ,Specialty Industrial Machinery,$47.15 B,,Russia,"Moscow,Russia",,Industrials, Igor Y. Zhilkin,,,,,OMZZP,,
246,"Prudential Financial, Inc.",Insurance—Life,$47.17 B," 40,916",United States,"Newark,NJ,UnitedStates",,Financials, Mr. Charles Frederick Lowrey Jr., 1875,,,,PRU,,
247,"Autodesk, Inc.",Software—Application,$47.69 B," 12,600",United States,"SanRafael,CA,UnitedStates",,Technology, Dr. Andrew  Anagnost," January 30, 1982",,,,ADSK,,
